NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAREST_OPENSPACE,NEAREST_ROAD,Prevalence
39.4270401,0.0699551,22.1856441,21.8916626,474.375390891977531,765.258903367499329,
35.3721313,0.07454,15.7958813,20.3677769,0,159.203332911344205,
46.665081,0.0666887,33.7075348,22.7545605,293.844281102678906,12.659626071009887,
31.5377674,0.0684339,14.5803471,21.7840652,510.121394454021072,59.023859318161051,
45.2540398,0.059,35.679039,25.1351032,0,322.875363628077935,
39.0688896,0.074506,16.0486603,20.3610935,68.062285516275779,121.284580188178012,
42.4950066,0.0650871,38.5347137,24.3384495,325.900715284013700,454.098809172790823,
33.4438705,0.0675913,14.7743559,22.4844799,644.616868348625417,133.260232981969835,
34.7255554,0.0741297,15.1890316,20.0080376,6.466781247911563,487.016411242445884,
44.8000336,0.0624698,35.2061386,22.9474373,20.700500218465745,72.458325343430175,
41.8246841,0.0662929,32.5219841,23.3477077,0,17.852859696308396,
34.4720268,0.0732211,15.1846552,21.1568108,152.867177972483290,137.681439667415674,
42.6564941,0.0648751,39.395401,23.7931786,0,357.740752255965504,
,,,,137.978012419139958,430.934168769140911,
44.8076172,0.05956,37.572155,23.891346,195.031173144839045,8.870507451023320,
77,0.0779067,13.3000002,23.815239,8.729501785159226,7.515382792264619,
77,0.0778913,13.3000002,23.5591526,120.714145718082705,20.309449045580731,
44.9903755,0.0651456,35.7891197,23.1084766,0,434.214022575732088,
44.7851219,0.0676863,32.1880417,22.2697048,0,208.470691775192535,
76.3178864,0.0764689,13.3212442,24.7236042,216.215268325808296,19.257522821988960,
,0.0758838,,20.5060005,202.304692521454655,118.013181210348307,
47.8569603,0.0684464,28.4042912,21.9681149,345.826109725727633,598.310775918094578,
77,0.0779053,13.3000002,23.7177505,0,411.821023858508227,
34.898056,0.0722217,15.2788849,21.6446075,647.896940076249507,246.540466532777998,
46.9812508,0.0682861,29.6237526,22.0021305,0,248.982296513113880,
38.6815529,0.0744891,16.0590115,20.3549881,714.686383261668539,23.949812305848351,
,,,,0.41953307,21.405621268506735,
42.5533905,0.0651081,38.2771072,23.9310169,0,291.780522263581304,
43.9822769,0.0685109,29.1422215,21.9418545,0,145.475181645327041,
37.0183907,0.0727746,15.5035477,20.2219868,0,496.341285502104768,
34.1011009,0.0699267,14.7413626,19.0375061,0,186.478680674534559,
46.809227,0.0674569,32.2100639,22.4002438,466.218910185012419,26.310308638227987,
41.7443581,0.069169,25.9773407,21.9123573,150.983168275239962,13.884622278581142,
43.672821,0.0689198,27.0810947,21.8944111,0,500.109432654313991,
38.1146393,0.0696555,22.4483986,22.0821209,235.266701212576351,476.648800058628638,
35.0195274,0.071586,16.5780449,21.2163658,0,379.222997527274742,
48.0873299,0.0689376,24.3028812,21.5052719,921.345358612956034,255.206626653214585,
38.8491592,0.0693807,23.8940754,22.1677608,43.544856118166749,96.670059904999988,
47.6308365,0.0684419,28.6336517,21.9737873,0,421.783814476786802,
34.8595695,0.074472,15.2300272,20.3162766,164.170519068449806,643.962716931543014,
45.2846375,0.0602209,33.0587769,22.8980122,884.443908645546230,12.599724750128843,
